No,Animal_ID,Final_result,MERS_RNA_copiesPerml,Bionote_result,Viral Isolation
1,L00009403,Negative,,Negative,Negative
2,L00009825,Negative,,Negative,Negative
3,L00009824,Negative,,Negative,Negative
4,L00009823,Negative,,Negative,Negative
5,L00009822,Negative,,Negative,Negative
6,L00009821,Positive,1.63E+08,Positive,Positive
7,L00009820,Positive,6.91E+04,Negative,Negative
8,L00009819,Negative,,Negative,Negative
9,L00009818,Negative,,Negative,Negative
10,L00009373,Negative,,Negative,Negative
11,L00009374,Negative,,Negative,Negative
12,L00009375,Positive,6.41E+03,Negative,Negative
13,L00009376,Negative,,Negative,Negative
14,L00009377,Negative,,Negative,Negative
15,L00009378,Negative,,Negative,Negative
16,L00009379,Negative,,Negative,Negative
17,L00009380,Negative,,Negative,Negative
18,L00009381,Negative,,Negative,Negative
19,L00009382,Negative,,Negative,Negative
20,L00009383,Negative,,Negative,Negative
21,L00009396,Negative,,Negative,Negative
22,L00009252,Negative,,Negative,Negative
23,L00009253,Negative,,Negative,Negative
24,L00009403,Negative,,Negative,Negative
25,L00009397,Negative,,Negative,Negative
26,L00009398,Negative,,Negative,Negative
27,L00009399,Negative,,Negative,Negative
28,L00009400,Negative,,Negative,Negative
29,L00009401,Negative,,Negative,Negative
30,L00009402,Positive,1.02E+04,Negative,Negative
31,L00009403,Positive,1.87E+06,Positive,Positive
32,L00009250,Negative,,Negative,Negative
33,L00009251,Negative,,Negative,Negative
34,L00009254,Negative,,Negative,Negative
35,L00009557,Negative,,Negative,Negative
36,L00009562,Negative,,Negative,Negative
37,L00009561,Negative,,Negative,Negative
38,L00009560,Positive,8.50E+02,Negative,Negative
39,L00009559,Negative,,Negative,Negative
40,L00009558,Positive,1.30E+07,Positive,Positive
41,L00009815,Negative,,Negative,Negative
42,L00009814,Negative,,Negative,Negative
43,L00009813,Negative,,Negative,Negative
44,L00009480,Negative,,Negative,Negative
45,L00009481,Negative,,Negative,Negative
46,L00009482,Negative,,Negative,Negative
47,L00009483,Negative,,Negative,Negative
48,L00009484,Negative,,Negative,Negative
49,L00009485,Negative,,Negative,Negative
50,L00009686,Negative,,Negative,Negative
51,L00009487,Negative,,Negative,Negative
52,L00009488,Negative,,Negative,Negative
53,L00009489,Negative,,Negative,Negative
54,L00009478,Negative,,Negative,Negative
55,L00009479,Negative,,Negative,Negative
56,L00009811,Negative,,Negative,Negative
57,L00009812,Negative,,Negative,Negative
58,L00009662,Positive,4.34E+05,Negative,Negative
59,L00009663,Negative,,Negative,Negative
60,L00009664,Negative,,Negative,Negative
61,L00009665,Negative,,Negative,Negative
62,L00009666,Negative,,Negative,Negative
63,L00009667,Negative,,Negative,Negative
64,L00009668,Negative,,Negative,Negative
65,L00009669,Negative,,Negative,Negative
66,L00009670,Negative,,Negative,Negative
67,L00009671,Negative,,Negative,Negative
68,L00009672,Negative,,Negative,Negative
69,L00009673,Negative,,Negative,Negative
70,L00009674,Negative,,Negative,Negative
71,L00009675,Negative,,Negative,Negative
72,L00009676,Negative,,Negative,Negative
73,L00009677,Negative,,Negative,Negative
74,L00009678,Negative,,Negative,Negative
75,L00009679,Negative,,Negative,Negative
76,L00009680,Negative,,Negative,Negative
77,L00009681,Negative,,Negative,Negative
78,L00009682,Negative,,Negative,Negative
79,L00009683,Negative,,Negative,Negative
80,L00009684,Negative,,Negative,Negative
81,L00009685,Negative,,Negative,Negative
82,L00009686,Negative,,Negative,Negative
83,L00009687,Negative,,Negative,Negative
84,L00009688,Negative,,Negative,Negative
85,L00009689,Negative,,Negative,Negative
86,L00009690,Negative,,Negative,Negative
87,L00009691,Negative,,Negative,Negative
88,L00009692,Negative,,Negative,Negative
89,L00009474,Negative,,Negative,Negative
90,L00009475,Negative,,Negative,Negative
91,L00009476,Negative,,Negative,Negative
92,L00009477,Negative,,Negative,Negative
93,L00009788,Negative,,Negative,Negative
94,L00009790,Negative,,Negative,Negative
95,L00009791,Negative,,Negative,Negative
96,L00009792,Negative,,Negative,Negative
97,L00009793,Negative,,Negative,Negative
98,L00009794,Negative,,Negative,Negative
99,L00009795,Negative,,Negative,Negative
100,L00009796,Negative,,Negative,Negative
101,L00009797,Negative,,Negative,Negative
102,L00009798,Negative,,Negative,Negative
103,L00009799,Negative,,Negative,Negative
104,L00009800,Negative,,Negative,Negative
105,L00009801,Negative,,Negative,Negative
106,L00009802,Negative,,Negative,Negative
107,L00009803,Negative,,Negative,Negative
108,L00009804,Positive,2.29E+03,Negative,Negative
109,L00009805,Negative,,Negative,Negative
110,L00009806,Negative,,Negative,Negative
111,L00009807,Negative,,Negative,Negative
112,L00009808,Negative,,Negative,Negative
113,L00009809,Negative,,Negative,Negative
114,L00009810,Negative,,Negative,Negative
115,L00009929,Negative,,Negative,Negative
116,L00009930,Negative,,Negative,Negative
117,L00009931,Negative,,Negative,Negative
118,L00009932,Negative,,Negative,Negative
119,L00009933,Negative,,Negative,Negative
120,L00009934,Negative,,Negative,Negative
121,L00009935,Negative,,Negative,Negative
122,L00009936,Negative,,Negative,Negative
123,L00009937,Negative,,Negative,Negative
124,L00009938,Negative,,Negative,Negative
125,L00009939,Negative,,Negative,Negative
126,L00009940,Negative,,Negative,Negative
127,L00009941,Negative,,Negative,Negative
128,L00009942,Negative,,Negative,Negative
129,L00009943,Negative,,Negative,Negative
130,L00009944,Negative,,Negative,Negative
131,L00009945,Negative,,Negative,Negative
132,L00009946,Negative,,Negative,Negative
133,L00009947,Negative,,Negative,Negative
134,L00009948,Negative,,Negative,Negative
135,L00009949,Negative,,Negative,Negative
136,L00009950,Negative,,Negative,Negative
137,L00009951,Negative,,Negative,Negative
138,L00009952,Negative,,Negative,Negative
139,L00009953,Negative,,Negative,Negative
140,L00009954,Positive,3.15E+06,Positive,Positive
141,L00009955,Negative,,Negative,Negative
142,L00009956,Negative,,Negative,Negative
143,L00009957,Negative,,Negative,Negative
144,L00009958,Negative,,Negative,Negative
145,L00009959,Negative,,Negative,Negative
146,L00009960,Negative,,Negative,Negative
147,L00009961,Negative,,Negative,Negative
148,L00009962,Negative,,Negative,Negative
149,L00009963,Negative,,Negative,Negative
150,L00009964,Negative,,Negative,Negative
151,L00009965,Negative,,Negative,Negative
152,L00009966,Positive,5.88E+08,Positive,Positive
153,L00009967,Positive,1.82E+03,Negative,Negative
154,L00009968,Negative,,Negative,Negative
155,L00009969,Negative,,Negative,Negative
156,L00009970,Negative,,Negative,Negative
157,L00009971,Negative,,Negative,Negative
158,L00009972,Negative,,Negative,Negative
159,L00009973,Negative,,Negative,Negative
160,L00009984,Negative,,Negative,Negative
161,L00009975,Negative,,Negative,Negative
162,L00009976,Negative,,Negative,Negative
163,L00009977,Negative,,Negative,Negative
164,L00009978,Negative,,Negative,Negative
165,L00009979,Negative,,Negative,Negative
166,L00009980,Positive,7.40E+07,Positive,Positive
167,L00009981,Negative,,Negative,Negative
168,L00009982,Negative,,Negative,Negative
169,L00009983,Negative,,Negative,Negative
170,L00009984,Negative,,Negative,Negative
171,L00009985,Negative,,Negative,Negative
172,L00009986,Negative,,Negative,Negative
173,L00009987,Negative,,Negative,Negative
174,L00009988,Negative,,Negative,Negative
175,L00009989,Positive,6.08E+02,Negative,Negative
176,L00009990,Negative,,Negative,Negative
177,L00009991,Negative,,Negative,Negative
178,L00009886,Negative,,Negative,Negative
179,_00009887,Negative,,Negative,Negative
180,L00009888,Negative,,Negative,Negative
181,L00009889,Negative,,Negative,Negative
182,L00009890,Positive,1.67E+03,Negative,Negative
183,L00009891,Negative,,Negative,Negative
184,L00009892,Negative,,Negative,Negative
185,L00009893,Negative,,Negative,Negative
186,L00009894,Negative,,Negative,Negative
187,L00009895,Negative,,Negative,Negative
188,L00009896,Positive,6.10E+08,Positive,Positive
189,L00009897,Negative,,Negative,Negative
190,L00009898,Negative,,Negative,Negative
191,L00009899,Negative,,Negative,Negative
192,L00009900,Negative,,Negative,Negative
193,L00009901,Negative,,Negative,Negative
194,L00009902,Negative,,Negative,Negative
195,L00009903,Negative,,Negative,Negative
196,L00009904,Negative,,Negative,Negative
197,L00009905,Negative,,Negative,Negative
198,L00009906,Negative,,Negative,Negative
199,L00009907,Negative,,Negative,Negative
200,L00009908,Negative,,Negative,Negative
201,L00009909,Negative,,Negative,Negative
202,L00009910,Negative,,Negative,Negative
203,L00009911,Negative,,Negative,Negative
204,L00009912,Negative,,Negative,Negative
205,L00009913,Positive,2.32E+05,Negative,Negative
206,L00009914,Negative,,Negative,Negative
207,L00009915,Negative,,Negative,Negative
208,L00009916,Negative,,Negative,Negative
